,graph name,og fail,v2 fail,sols match,v2 faster,og time,v2 time,time diff,og obj,v2 obj,og X,v2 X,og Y,v2 Y,og Z,v2 Z
001,rndgraph05-100_2-2-2,False,False,False,True,3941.06,17.25,-3923.81,7.0,6.0,"[25, 63]","{82, 62}","[24, 27]","{92, 87}","[82, 92]","{25, 27}"
002,rndgraph05-100_2-2-2,False,False,True,True,94.194,10.2,-83.994,8.0,8.0,"[15, 96]","{94, 15}","[4, 30]","{90, 77}","[14, 77]","{96, 65}"
003,rndgraph05-100_2-2-2,,False,,,,,,,,,,,,,
004,rndgraph05-100_2-2-2,False,False,True,True,384.493,11.58,-372.913,7.0,7.0,"[57, 68]","{49, 44}","[23, 72]","{25, 31}","[31, 49]","{72, 23}"
005,rndgraph05-100_2-2-2,False,False,True,True,237.456,4.73,-232.726,8.0,8.0,"[22, 28]","{46, 22}","[48, 53]","{89, 1}","[54, 96]","{96, 28}"
006,rndgraph05-100_2-2-2,False,False,True,True,1048.94,11.35,-1037.5900000000001,8.0,8.0,"[31, 79]","{41, 87}","[58, 68]","{2, 50}","[41, 88]","{1, 68}"
007,rndgraph05-100_2-2-2,False,False,False,True,7165.863,18.55,-7147.313,7.0,6.0,"[66, 97]","{97, 6}","[37, 67]","{73, 67}","[92, 96]","{20, 92}"
008,rndgraph05-100_2-2-2,False,False,True,True,314.99,6.81,-308.18,9.0,9.0,"[29, 75]","{74, 69}","[59, 84]","{1, 79}","[69, 74]","{75, 84}"
009,rndgraph05-100_2-2-2,,False,,,,,,,,,,,,,
010,rndgraph05-100_2-2-2,,False,,,,,,,,,,,,,
011,rndgraph05-100_2-2-2,,False,,,,,,,,,,,,,
012,rndgraph05-100_2-2-2,False,False,True,True,47.638,8.09,-39.548,8.0,8.0,"[5, 77]","{97, 28}","[7, 58]","{1, 100}","[56, 97]","{77, 5}"
013,rndgraph05-100_2-2-2,False,False,False,True,656.859,16.89,-639.969,8.0,7.0,"[44, 56]","{34, 19}","[76, 84]","{56, 9}","[19, 69]","{76, 69}"
014,rndgraph05-100_2-2-2,,False,,,,,,,,,,,,,
015,rndgraph05-100_2-2-2,,False,,,,,,,,,,,,,
016,rndgraph05-100_2-2-2,,False,,,,,,,,,,,,,
017,rndgraph05-100_2-2-2,False,False,True,True,1185.087,15.0,-1170.087,7.0,7.0,"[21, 29]","{85, 29}","[34, 65]","{21, 22}","[61, 85]","{1, 61}"
018,rndgraph05-100_2-2-2,False,False,False,True,45.914,11.94,-33.974000000000004,8.0,7.0,"[11, 57]","{8, 60}","[34, 71]","{93, 53}","[60, 93]","{35, 30}"
019,rndgraph05-100_2-2-2,False,False,True,True,640.649,12.77,-627.879,10.0,10.0,"[69, 88]","{69, 55}","[55, 85]","{85, 87}","[47, 73]","{73, 47}"
020,rndgraph05-100_2-2-2,,False,,,,,,,,,,,,,
