,graph name,og fail,v2 time,v2 obj,v2 X,v2 Y,sols match,v2 faster,og time,time diff,og obj,og X,og Y,og Z,v2 Z
001,rndgraph07-40_1-1-1,False,0.58,11.0,{40},{13},True,True,1.27,-0.6900000000000001,11,[40],[13],[15],{15}
002,rndgraph07-40_1-1-1,False,0.78,7.0,{22},{1},True,False,0.528,0.252,7,[22],[14],[38],{38}
003,rndgraph07-40_1-1-1,False,0.24,9.0,{3},{2},True,True,0.634,-0.394,9,[3],[1],[2],{1}
004,rndgraph07-40_1-1-1,False,0.45,10.0,{34},{1},True,True,0.534,-0.08400000000000002,10,[1],[15],[32],{32}
005,rndgraph07-40_1-1-1,False,0.17,8.0,{15},{1},True,True,0.78,-0.61,8,[15],[29],[7],{7}
006,rndgraph07-40_1-1-1,False,0.89,9.0,{25},{37},True,False,0.78,0.10999999999999999,9,[21],[38],[37],{38}
007,rndgraph07-40_1-1-1,False,0.58,11.0,{8},{28},True,True,1.09,-0.5100000000000001,11,[8],[28],[24],{24}
008,rndgraph07-40_1-1-1,False,0.89,10.0,{3},{1},True,True,0.971,-0.08099999999999996,10,[40],[7],[3],{40}
009,rndgraph07-40_1-1-1,False,0.56,10.0,{34},{29},True,True,1.179,-0.619,10,[39],[11],[29],{11}
010,rndgraph07-40_1-1-1,False,1.54,8.0,{29},{28},True,True,1.941,-0.401,8,[23],[4],[40],{12}
011,rndgraph07-40_1-1-1,False,0.37,8.0,{7},{35},True,True,1.008,-0.638,8,[7],[35],[2],{2}
012,rndgraph07-40_1-1-1,False,0.51,10.0,{37},{10},True,True,0.584,-0.07399999999999995,10,[29],[10],[33],{33}
013,rndgraph07-40_1-1-1,False,0.44,8.999999999999986,{2},{24},False,True,1.115,-0.675,8,[2],[24],[34],{34}
014,rndgraph07-40_1-1-1,False,0.46,8.0,{12},{10},True,True,0.754,-0.294,8,[38],[1],[10],{1}
015,rndgraph07-40_1-1-1,False,0.38,13.0,{19},{14},True,True,0.436,-0.055999999999999994,13,[19],[14],[9],{9}
016,rndgraph07-40_1-1-1,False,0.4,10.0,{39},{29},True,True,0.769,-0.369,10,[39],[29],[30],{30}
017,rndgraph07-40_1-1-1,False,0.48,9.0,{2},{3},True,True,1.063,-0.583,9,[2],[3],[37],{37}
018,rndgraph07-40_1-1-1,False,0.86,7.0,{35},{33},True,True,1.123,-0.263,7,[25],[13],[21],{26}
019,rndgraph07-40_1-1-1,False,0.35,10.0,{17},{1},True,True,0.493,-0.14300000000000002,10,[17],[21],[28],{28}
020,rndgraph07-40_1-1-1,False,1.78,8.0,{10},{15},True,True,2.598,-0.8179999999999998,8,[24],[1],[5],{28}
