,graph name,og fail,v2 fail,sols match,v2 faster,og time,v2 time,time diff,og obj,v2 obj,og X,v2 X,og Y,v2 Y,og Z,v2 Z
001,rndgraph05-20_1-3-3,False,False,True,True,69.431,18.76,-50.67099999999999,16,16.0,"[4, 9, 10]","{3, 13, 6}","[6, 11, 17]","{17, 10, 12}",[1],{1}
002,rndgraph05-20_1-3-3,False,False,True,True,81.952,20.46,-61.492,15,15.0,"[3, 11, 14]","{8, 10, 11}","[9, 13, 18]","{18, 3, 20}",[10],{9}
003,rndgraph05-20_1-3-3,False,False,True,True,61.792,18.61,-43.182,16,16.0,"[2, 4, 11]","{2, 4, 5}","[5, 7, 8]","{3, 15, 7}",[19],{19}
004,rndgraph05-20_1-3-3,False,False,False,True,60.857,18.02,-42.837,15,15.999999999999998,"[2, 10, 19]","{10, 19, 13}","[6, 12, 20]","{3, 12, 6}",[1],{2}
005,rndgraph05-20_1-3-3,False,False,True,True,69.882,16.61,-53.272000000000006,16,16.0,"[5, 9, 10]","{10, 3, 5}","[1, 3, 8]","{8, 9, 6}",[14],{14}
006,rndgraph05-20_1-3-3,False,False,True,True,61.609,25.0,-36.609,16,16.0,"[4, 17, 19]","{19, 11, 7}","[1, 9, 14]","{15, 6, 14}",[13],{13}
007,rndgraph05-20_1-3-3,False,False,True,True,41.12,15.39,-25.729999999999997,17,17.0,[],{16},"[2, 3, 17]","{2, 3, 4}",[1],{1}
008,rndgraph05-20_1-3-3,False,False,True,True,69.015,26.46,-42.555,15,15.0,"[5, 10, 20]","{9, 19, 7}","[3, 9, 18]","{18, 5, 6}",[6],{17}
009,rndgraph05-20_1-3-3,False,False,True,True,61.662,17.48,-44.182,16,16.0,"[2, 4, 15]","{8, 1, 3}","[1, 3, 14]","{2, 18, 6}",[13],{13}
010,rndgraph05-20_1-3-3,False,False,True,True,74.244,22.2,-52.044,15,15.0,"[1, 2, 10]","{2, 4, 14}","[3, 7, 19]","{3, 13, 7}",[13],{10}
011,rndgraph05-20_1-3-3,False,False,True,True,61.248,18.89,-42.358,16,16.0,"[5, 9, 18]","{13, 12, 5}","[1, 6, 11]","{1, 10, 6}",[10],{11}
012,rndgraph05-20_1-3-3,False,False,True,True,58.298,18.51,-39.788,16,16.0,"[6, 7, 12]","{3, 6, 7}","[1, 15, 17]","{16, 17, 15}",[2],{2}
013,rndgraph05-20_1-3-3,False,False,True,True,69.465,18.17,-51.295,16,16.0,"[1, 11, 14]","{1, 11, 14}","[2, 8, 9]","{9, 2, 18}",[7],{7}
014,rndgraph05-20_1-3-3,False,False,True,True,64.09,28.24,-35.85000000000001,15,15.0,"[2, 9, 20]","{2, 20, 14}","[1, 15, 19]","{19, 13, 15}",[5],{5}
015,rndgraph05-20_1-3-3,False,False,True,True,61.449,17.14,-44.309,15,15.0,"[2, 6, 10]","{11, 2, 10}","[9, 11, 18]","{8, 9, 18}",[17],{17}
016,rndgraph05-20_1-3-3,False,False,True,True,73.209,15.79,-57.419000000000004,17,17.0,[],"{11, 15}","[3, 10, 12]","{1, 2, 3}",[5],{5}
017,rndgraph05-20_1-3-3,False,False,True,True,66.689,20.69,-45.998999999999995,15,15.0,"[14, 17, 18]","{8, 19, 12}","[2, 9, 19]","{1, 2, 9}",[7],{7}
018,rndgraph05-20_1-3-3,False,False,True,True,61.421,20.19,-41.230999999999995,16,16.0,"[10, 12, 17]","{10, 12, 14}","[4, 6, 11]","{16, 4, 6}",[19],{19}
019,rndgraph05-20_1-3-3,False,False,True,True,74.44,17.56,-56.879999999999995,16,16.0,"[6, 11, 15]","{2, 20, 7}","[2, 5, 7]","{16, 14, 15}",[18],{18}
020,rndgraph05-20_1-3-3,False,False,True,True,74.746,17.31,-57.43599999999999,15,15.0,"[1, 6, 16]","{2, 6, 7}","[3, 4, 5]","{3, 20, 13}",[20],{1}
