,graph name,og fail,v2 time,v2 obj,v2 X,v2 Y,sols match,v2 faster,og time,time diff,og obj,og X,og Y,og Z,v2 Z
001,rndgraph06-40_1-1-1,False,0.42,12.0,{15},{37},True,False,0.409,0.01100000000000001,12,[15],[37],[6],{6}
002,rndgraph06-40_1-1-1,False,0.45,22.0,{19},{11},True,True,0.533,-0.08300000000000002,22,[23],[25],[11],{25}
003,rndgraph06-40_1-1-1,False,1.3,11.0,{5},{16},True,True,1.592,-0.29200000000000004,11,[24],[16],[7],{7}
004,rndgraph06-40_1-1-1,False,0.24,13.0,{35},{40},True,True,0.803,-0.5630000000000001,13,[12],[8],[26],{26}
005,rndgraph06-40_1-1-1,False,0.66,13.0,{1},{7},True,True,0.885,-0.22499999999999998,13,[4],[35],[7],{35}
006,rndgraph06-40_1-1-1,False,0.94,14.0,{35},{37},True,True,1.317,-0.377,14,[35],[37],[21],{21}
007,rndgraph06-40_1-1-1,False,0.96,14.0,{34},{5},True,True,1.18,-0.21999999999999997,14,[34],[5],[18],{18}
008,rndgraph06-40_1-1-1,False,0.66,14.0,{12},{25},True,False,0.278,0.382,14,[12],[25],[15],{15}
009,rndgraph06-40_1-1-1,False,0.45,18.0,{17},{38},True,True,0.65,-0.2,18,[31],[12],[38],{12}
010,rndgraph06-40_1-1-1,False,0.52,17.0,{21},{5},True,False,0.415,0.10500000000000004,17,[21],[5],[32],{32}
011,rndgraph06-40_1-1-1,False,0.5,13.0,{19},{27},True,True,1.113,-0.613,13,[39],[18],[27],{18}
012,rndgraph06-40_1-1-1,False,0.29,12.0,{38},{40},True,True,0.845,-0.5549999999999999,12,[5],[38],[8],{8}
013,rndgraph06-40_1-1-1,False,0.57,12.0,{6},{16},True,True,0.921,-0.3510000000000001,12,[6],[16],[40],{40}
014,rndgraph06-40_1-1-1,False,0.86,12.0,{27},{35},True,True,1.188,-0.32799999999999996,12,[27],[35],[14],{14}
015,rndgraph06-40_1-1-1,False,0.69,17.0,{15},{33},True,False,0.34,0.3499999999999999,17,[15],[33],[11],{11}
016,rndgraph06-40_1-1-1,False,0.88,13.0,{38},{7},True,True,1.912,-1.032,13,[38],[7],[40],{40}
017,rndgraph06-40_1-1-1,False,0.5,15.0,{40},{34},True,True,0.994,-0.494,15,[40],[34],[39],{39}
018,rndgraph06-40_1-1-1,False,0.8,18.0,{24},{4},True,False,0.328,0.47200000000000003,18,[24],[4],[40],{40}
019,rndgraph06-40_1-1-1,False,0.48,16.0,{29},{11},True,True,0.602,-0.122,16,[29],[11],[33],{33}
020,rndgraph06-40_1-1-1,False,1.1,11.0,{15},{11},True,True,1.307,-0.20699999999999985,11,[4],[7],[11],{7}
