,graph name,og fail,v2 fail,sols match,v2 faster,og time,v2 time,time diff,og obj,v2 obj,og X,v2 X,og Y,v2 Y,og Z,v2 Z
001,rndgraph11-40_2-2-2,False,False,True,True,13.176,5.85,-7.3260000000000005,7,7.0,"[9, 11]","{2, 10}","[3, 7]","{40, 1}","[10, 35]","{9, 11}"
002,rndgraph11-40_2-2-2,False,False,False,True,21.288,18.28,-3.007999999999999,6,5.0,"[6, 27]","{25, 37}","[17, 38]","{9, 10}","[19, 23]","{17, 11}"
003,rndgraph11-40_2-2-2,False,False,True,True,19.12,5.27,-13.850000000000001,7,7.0,"[12, 19]","{26, 19}","[4, 24]","{24, 27}","[27, 39]","{4, 39}"
004,rndgraph11-40_2-2-2,False,False,True,True,7.497,5.96,-1.537,7,7.0,"[19, 40]","{17, 11}","[23, 35]","{35, 23}","[9, 11]","{1, 9}"
005,rndgraph11-40_2-2-2,False,False,False,True,8.263,6.59,-1.673,7,6.999999999999984,"[14, 36]","{10, 20}","[7, 22]","{16, 6}","[6, 10]","{40, 35}"
006,rndgraph11-40_2-2-2,False,False,True,True,3629.315,19.39,-3609.925,6,6.0,"[3, 25]","{1, 30}","[6, 13]","{37, 23}","[4, 11]","{26, 36}"
007,rndgraph11-40_2-2-2,False,False,False,True,10.036,5.43,-4.606,7,6.999999999999999,"[1, 24]","{17, 33}","[5, 32]","{32, 11}","[11, 26]","{4, 5}"
008,rndgraph11-40_2-2-2,False,False,False,True,25.576,2.07,-23.506,6,6.000000000000002,"[16, 40]","{16, 40}","[11, 35]","{27, 12}","[23, 36]","{36, 15}"
009,rndgraph11-40_2-2-2,False,False,True,True,3.84,2.56,-1.2799999999999998,8,8.0,"[11, 35]","{37, 13}","[13, 18]","{1, 3}","[2, 28]","{2, 28}"
010,rndgraph11-40_2-2-2,False,False,True,True,3.773,1.86,-1.913,9,9.0,"[6, 10]","{29, 6}","[14, 17]","{10, 14}","[2, 26]","{2, 26}"
011,rndgraph11-40_2-2-2,False,False,True,True,4.598,1.2,-3.3979999999999997,7,7.0,"[6, 29]","{5, 15}","[4, 11]","{1, 34}","[10, 28]","{10, 28}"
012,rndgraph11-40_2-2-2,False,False,False,True,528.223,15.16,-513.063,7,6.0,"[10, 12]","{22, 7}","[7, 28]","{36, 37}","[6, 36]","{1, 35}"
013,rndgraph11-40_2-2-2,False,False,True,True,237.479,13.33,-224.149,6,6.0,"[36, 39]","{28, 39}","[3, 37]","{9, 22}","[5, 28]","{1, 36}"
014,rndgraph11-40_2-2-2,False,False,True,True,62.801,8.35,-54.451,7,7.0,"[15, 36]","{39, 15}","[7, 19]","{8, 18}","[20, 39]","{1, 36}"
015,rndgraph11-40_2-2-2,False,False,True,True,5.638,3.07,-2.568,7,7.0,"[3, 6]","{16, 14}","[11, 28]","{40, 1}","[8, 37]","{8, 37}"
016,rndgraph11-40_2-2-2,False,False,True,True,394.699,11.2,-383.499,6,6.0,"[12, 19]","{30, 7}","[33, 34]","{24, 12}","[2, 11]","{2, 11}"
017,rndgraph11-40_2-2-2,False,False,True,True,11.153,3.82,-7.333,8,8.0,"[2, 31]","{37, 31}","[14, 16]","{16, 29}","[6, 40]","{40, 6}"
018,rndgraph11-40_2-2-2,False,False,False,True,157.613,1.39,-156.223,6,6.999999999999999,"[9, 15]","{33, 10}","[20, 27]","{1, 4}","[25, 30]","{3, 12}"
019,rndgraph11-40_2-2-2,False,False,True,True,12.388,7.35,-5.038,7,7.0,"[11, 12]","{2, 12}","[22, 39]","{22, 39}","[3, 18]","{18, 3}"
020,rndgraph11-40_2-2-2,False,False,True,True,9.105,6.05,-3.0550000000000006,7,7.0,"[6, 8]","{11, 39}","[1, 39]","{8, 1}","[14, 34]","{34, 14}"
