,graph_name,imp_failed,paper_fail,answers_match,Z_sols_match,improved_time,imp_time,paper_time,time_difference,imp_obj,paper_obj,imp_X_sol,paper_X_sol,imp_Y_sol,paper_Y_sol,imp_Z_sol,paper_Z_sol
001,rndgraph13-40_1-1-1_001,False,no,yes,True,False,1.469,0.862,0.607,3,3,{7},[3],{1},[40],[28],[28]
002,rndgraph13-40_1-1-1_002,False,no,yes,False,False,3.164,1.716,1.448,3,3,{23},[8],{2},[23],[1],[27]
003,rndgraph13-40_1-1-1_003,False,no,yes,False,False,1.919,0.874,1.045,3,3,{18},[2],{40},[14],[14],[25]
004,rndgraph13-40_1-1-1_004,False,no,yes,False,True,1.445,2.33,-0.885,3,3,{9},[19],{26},[9],[19],[25]
005,rndgraph13-40_1-1-1_005,False,no,yes,False,True,0.767,0.879,-0.112,5,5,{20},[39],{1},[14],[40],[25]
006,rndgraph13-40_1-1-1_006,False,no,yes,False,False,0.951,0.569,0.382,4,4,{11},[15],{1},[17],[15],[35]
007,rndgraph13-40_1-1-1_007,False,no,yes,True,True,1.247,1.763,-0.516,3,3,{7},[7],{14},[14],[12],[12]
008,rndgraph13-40_1-1-1_008,False,no,yes,False,True,4.823,7.188,-2.365,2,2,{7},[5],{19},[36],[29],[28]
009,rndgraph13-40_1-1-1_009,False,no,yes,False,True,0.573,1.327,-0.754,4,4,{40},[26],{18},[11],[11],[18]
010,rndgraph13-40_1-1-1_010,False,no,yes,False,False,0.679,0.417,0.262,3,3,{6},[40],{1},[17],[40],[24]
011,rndgraph13-40_1-1-1_011,False,no,yes,True,False,0.687,0.386,0.301,3,3,{2},[1],{1},[25],[11],[11]
012,rndgraph13-40_1-1-1_012,False,no,yes,False,True,2.526,3.36,-0.834,4,4,{8},[11],{1},[25],[24],[9]
013,rndgraph13-40_1-1-1_013,False,no,yes,False,True,3.191,4.975,-1.784,3,3,{6},[2],{1},[7],[11],[31]
014,rndgraph13-40_1-1-1_014,False,no,yes,True,True,0.577,0.952,-0.375,4,4,{3},[9],{1},[4],[30],[30]
015,rndgraph13-40_1-1-1_015,False,no,yes,True,True,1.125,1.545,-0.42,3,3,{7},[7],{27},[27],[21],[21]
016,rndgraph13-40_1-1-1_016,False,no,yes,False,True,1.123,1.971,-0.848,2,2,{9},[8],{39},[22],[22],[39]
017,rndgraph13-40_1-1-1_017,False,no,NO,True,False,0.666,0.49,0.176,4,3,{12},[23],{1},[4],[7],[7]
018,rndgraph13-40_1-1-1_018,False,no,yes,False,True,0.792,0.866,-0.074,3,3,{10},[4],{1},[24],[37],[25]
019,rndgraph13-40_1-1-1_019,False,no,yes,True,True,0.699,1.051,-0.352,3,3,{5},[7],{1},[33],[24],[24]
020,rndgraph13-40_1-1-1_020,False,no,yes,True,True,7.779,8.102,-0.323,2,2,{2},[2],{13},[13],[40],[40]
