,graph name,sols match,og fail,v2 fail,v2 faster,og time,v2 time,time diff,og obj,v2 obj,og X,v2 X,og Y,v2 Y,og Z,v2 Z
001,rndgraph11-40_3-1-3,True,no,False,False,12.0,136.21,124.21000000000001,12,12.0,"{13, 21, 5}","[6, 21, 28]",{7},[33],"{24, 22, 15}","[5, 22, 24]"
002,rndgraph11-40_3-1-3,True,no,False,False,1.554,33.41,31.855999999999998,13,13.0,"{33, 28, 14}","[5, 9, 14]",{1},[39],"{4, 12, 30}","[4, 27, 35]"
003,rndgraph11-40_3-1-3,True,no,False,False,3.672,3.7,0.028000000000000025,16,16.0,"{9, 36, 22}","[5, 8, 36]",{5},[9],"{1, 28, 13}","[1, 13, 28]"
004,rndgraph11-40_3-1-3,True,no,False,False,85.383,482.42,397.03700000000003,11,11.0,"{40, 4, 14}","[4, 16, 40]",{36},[20],"{16, 23, 15}","[15, 23, 36]"
005,rndgraph11-40_3-1-3,True,no,False,False,4.929,102.87,97.941,13,13.0,"{26, 12, 28}","[12, 26, 28]",{8},[8],"{10, 3, 5}","[3, 5, 10]"
006,rndgraph11-40_3-1-3,True,no,False,False,25.291,120.57,95.279,11,11.0,"{16, 21, 39}","[16, 21, 39]",{2},[31],"{1, 34, 11}","[1, 11, 34]"
007,rndgraph11-40_3-1-3,True,no,False,False,4.75,16.81,12.059999999999999,14,14.0,"{8, 25, 2}","[2, 8, 32]",{3},[3],"{32, 12, 15}","[12, 15, 25]"
008,rndgraph11-40_3-1-3,True,no,False,True,18.675,4.77,-13.905000000000001,11,11.0,"{24, 32, 12}","[12, 14, 24]",{40},[6],"{17, 11, 5}","[5, 11, 17]"
009,rndgraph11-40_3-1-3,True,no,False,False,12.722,40.97,28.247999999999998,12,12.0,"{38, 35, 14}","[7, 14, 38]",{1},[29],"{11, 3, 20}","[3, 11, 20]"
010,rndgraph11-40_3-1-3,True,no,False,True,72.269,3.24,-69.02900000000001,13,13.0,"{16, 28, 36}","[16, 28, 29]",{2},[2],"{40, 17, 29}","[17, 36, 40]"
011,rndgraph11-40_3-1-3,True,no,False,False,10.499,59.04,48.541,11,11.0,"{27, 13, 22}","[1, 3, 16]",{1},[15],"{16, 18, 3}","[18, 22, 37]"
012,rndgraph11-40_3-1-3,True,no,False,False,19.577,67.57,47.992999999999995,12,12.0,"{8, 18, 38}","[2, 26, 27]",{4},[4],"{32, 11, 20}","[19, 20, 32]"
013,rndgraph11-40_3-1-3,True,no,False,False,71.343,2329.49,2258.147,11,11.0,"{16, 38, 14}","[5, 34, 36]",{20},[39],"{29, 36, 5}","[6, 19, 29]"
014,rndgraph11-40_3-1-3,True,no,False,False,2.701,13.43,10.729,12,12.0,"{20, 31, 23}","[16, 33, 40]",{28},[31],"{33, 2, 26}","[2, 26, 28]"
015,rndgraph11-40_3-1-3,True,no,False,False,2.906,4.26,1.3539999999999996,13,13.0,"{38, 20, 36}","[5, 7, 9]",{6},[15],"{8, 2, 5}","[2, 35, 36]"
016,rndgraph11-40_3-1-3,True,no,False,False,207.582,630.73,423.148,12,12.0,"{16, 18, 38}","[15, 18, 29]",{17},[11],"{26, 35, 15}","[3, 27, 37]"
017,rndgraph11-40_3-1-3,True,no,False,False,3.156,23.58,20.424,13,13.0,"{18, 28, 14}","[14, 18, 28]",{15},[15],"{13, 30, 31}","[13, 30, 31]"
018,rndgraph11-40_3-1-3,True,no,False,True,18.576,8.49,-10.086,12,12.0,"{8, 30, 15}","[6, 8, 16]",{6},[23],"{32, 4, 5}","[4, 5, 32]"
019,rndgraph11-40_3-1-3,True,no,False,False,19.346,22.09,2.7439999999999998,11,11.0,"{10, 36, 31}","[13, 15, 17]",{20},[33],"{33, 5, 39}","[3, 5, 40]"
020,rndgraph11-40_3-1-3,True,no,False,False,6.908,12.1,5.191999999999999,14,14.0,"{33, 3, 36}","[14, 31, 37]",{40},[26],"{32, 26, 13}","[32, 33, 36]"
