,graph name,og fail,v2 fail,sols match,v2 faster,og time,v2 time,time diff,og obj,v2 obj,og X,v2 X,og Y,v2 Y,og Z,v2 Z
001,rndgraph05-20_2-2-2,False,False,True,True,3.561,1.5,-2.061,17,17.0,"[10, 17]","{8, 4}","[4, 6]","{16, 12}","[11, 12]","{10, 11}"
002,rndgraph05-20_2-2-2,False,False,True,True,3.947,1.04,-2.907,18,18.0,[],{10},"[2, 7]","{1, 2}","[11, 14]","{11, 5}"
003,rndgraph05-20_2-2-2,False,False,True,True,3.492,1.36,-2.1319999999999997,17,17.0,"[6, 12]","{1, 14}","[11, 14]","{6, 7}","[1, 13]","{18, 13}"
004,rndgraph05-20_2-2-2,False,False,True,True,2.501,1.26,-1.2409999999999999,18,18.0,[],"{3, 5}","[2, 11]","{1, 2}","[9, 12]","{9, 12}"
005,rndgraph05-20_2-2-2,False,False,True,True,3.725,1.36,-2.365,17,17.0,"[2, 8]","{2, 3}","[6, 19]","{17, 19}","[4, 17]","{4, 6}"
006,rndgraph05-20_2-2-2,False,False,True,True,3.519,2.48,-1.0390000000000001,17,17.0,"[2, 17]","{10, 5}","[5, 7]","{2, 15}","[3, 10]","{3, 7}"
007,rndgraph05-20_2-2-2,False,False,True,True,3.311,0.92,-2.391,18,18.0,[],{14},"[3, 7]","{2, 3}","[1, 4]","{1, 4}"
008,rndgraph05-20_2-2-2,False,False,True,True,3.532,1.12,-2.412,17,17.0,"[5, 9]","{9, 5}","[4, 7]","{4, 7}","[1, 17]","{1, 17}"
009,rndgraph05-20_2-2-2,False,False,True,True,3.783,0.85,-2.933,18,18.0,[],set(),"[6, 13]","{1, 3}","[2, 8]","{8, 2}"
010,rndgraph05-20_2-2-2,False,False,True,True,3.415,0.92,-2.495,18,18.0,[],{7},"[2, 12]","{2, 3}","[1, 15]","{1, 15}"
011,rndgraph05-20_2-2-2,False,False,True,True,4.051,1.04,-3.011,17,17.0,"[3, 8]","{10, 7}","[16, 17]","{9, 18}","[15, 18]","{17, 15}"
012,rndgraph05-20_2-2-2,False,False,True,True,3.484,1.17,-2.314,18,18.0,[],{16},"[2, 12]","{2, 3}","[1, 18]","{1, 18}"
013,rndgraph05-20_2-2-2,False,False,True,True,4.236,2.9,-1.3359999999999999,16,16.0,"[5, 11]","{4, 6}","[1, 8]","{10, 13}","[10, 13]","{12, 20}"
014,rndgraph05-20_2-2-2,False,False,True,True,3.731,0.97,-2.761,18,18.0,[],{17},"[2, 12]","{1, 2}","[6, 8]","{8, 6}"
015,rndgraph05-20_2-2-2,False,False,True,True,3.195,0.94,-2.255,18,18.0,[],"{16, 9}","[11, 12]","{1, 3}","[9, 19]","{2, 19}"
016,rndgraph05-20_2-2-2,False,False,True,True,3.905,1.24,-2.665,17,17.0,"[1, 2]","{1, 2}","[13, 18]","{18, 11}","[5, 16]","{5, 6}"
017,rndgraph05-20_2-2-2,False,False,True,True,3.445,0.77,-2.675,18,18.0,[],"{19, 11}","[2, 3]","{3, 4}","[1, 19]","{1, 2}"
018,rndgraph05-20_2-2-2,False,False,True,True,3.41,0.9,-2.5100000000000002,18,18.0,[],set(),"[1, 2]","{1, 2}","[3, 6]","{3, 6}"
019,rndgraph05-20_2-2-2,False,False,True,True,3.513,0.85,-2.663,18,18.0,[],{19},"[2, 10]","{1, 2}","[15, 20]","{20, 15}"
020,rndgraph05-20_2-2-2,False,False,True,True,3.268,0.85,-2.4179999999999997,18,18.0,[],set(),"[1, 2]","{1, 2}","[6, 10]","{10, 5}"
