,graph_name,imp_failed,paper_fail,answers_match,Z_sols_match,improved_time,imp_time,paper_time,time_difference,imp_obj,paper_obj,imp_X_sol,paper_X_sol,imp_Y_sol,paper_Y_sol,imp_Z_sol,paper_Z_sol
001,rndgraph05-20_1-1-1_001,False,no,yes,False,True,0.173,0.267,-0.094,17,17,{6},[6],{8},[8],[10],[4]
002,rndgraph05-20_1-1-1_002,False,no,yes,False,False,0.407,0.28,0.127,17,17,{8},[8],{14},[14],[6],[19]
003,rndgraph05-20_1-1-1_003,False,no,NO,True,False,0.344,0.268,0.076,18,17,{4},[4],{5},[5],[11],[11]
004,rndgraph05-20_1-1-1_004,False,no,yes,True,True,0.109,0.311,-0.202,18,18,{14},[14],{2},[2],[1],[1]
005,rndgraph05-20_1-1-1_005,False,no,yes,True,False,0.424,0.311,0.113,18,18,{4},[2],{15},[16],[7],[7]
006,rndgraph05-20_1-1-1_006,False,no,yes,True,True,0.133,0.352,-0.219,19,19,{20},[20],{1},[1],[10],[10]
007,rndgraph05-20_1-1-1_007,False,no,yes,True,True,0.116,0.339,-0.223,19,19,{2},[2],{1},[1],[18],[18]
008,rndgraph05-20_1-1-1_008,False,no,yes,False,True,0.161,0.321,-0.16,18,18,{7},[14],{9},[11],[4],[16]
009,rndgraph05-20_1-1-1_009,False,no,yes,True,True,0.219,0.304,-0.085,18,18,{13},[13],{8},[8],[12],[12]
010,rndgraph05-20_1-1-1_010,False,no,yes,False,True,0.116,0.314,-0.198,18,18,{2},[17],{1},[16],[4],[9]
011,rndgraph05-20_1-1-1_011,False,no,yes,False,True,0.109,0.295,-0.186,18,18,{12},[3],{3},[12],[6],[15]
012,rndgraph05-20_1-1-1_012,False,no,yes,False,True,0.15,0.29,-0.14,18,18,{11},[2],{17},[18],[20],[17]
013,rndgraph05-20_1-1-1_013,False,no,yes,True,True,0.128,0.327,-0.199,18,18,{3},[2],{8},[17],[6],[6]
014,rndgraph05-20_1-1-1_014,False,no,yes,True,True,0.104,0.295,-0.191,18,18,{3},[3],{4},[4],[2],[2]
015,rndgraph05-20_1-1-1_015,False,no,yes,True,True,0.191,0.269,-0.078,18,18,{5},[5],{1},[1],[14],[14]
016,rndgraph05-20_1-1-1_016,False,no,yes,True,True,0.132,0.377,-0.245,18,18,{18},[5],{5},[2],[6],[6]
017,rndgraph05-20_1-1-1_017,False,no,yes,False,True,0.069,0.305,-0.236,18,18,{4},[3],{2},[18],[1],[2]
018,rndgraph05-20_1-1-1_018,False,no,yes,False,True,0.079,0.339,-0.26,18,18,{14},[6],{20},[2],[8],[19]
019,rndgraph05-20_1-1-1_019,False,no,yes,True,True,0.084,0.402,-0.318,18,18,{3},[3],{4},[4],[2],[2]
020,rndgraph05-20_1-1-1_020,False,no,yes,True,True,0.199,0.24,-0.041,18,18,{15},[18],{20},[8],[14],[14]
