,graph name,sols match,og fail,v2 fail,v2 faster,og time,v2 time,time diff,og obj,v2 obj,og X,v2 X,og Y,v2 Y,og Z,v2 Z
001,rndgraph12-40_1-1-1,True,no,False,False,0.411,0.5,0.08900000000000002,3,3.0,{12},[4],{1},[24],{21},[21]
002,rndgraph12-40_1-1-1,True,no,False,True,8.56,4.45,-4.11,3,3.0,{16},[16],{19},[19],{21},[21]
003,rndgraph12-40_1-1-1,True,no,False,True,0.506,0.38,-0.126,3,3.0,{8},[34],{1},[32],{27},[36]
004,rndgraph12-40_1-1-1,True,no,False,True,2.985,1.02,-1.9649999999999999,3,3.0,{1},[24],{31},[16],{16},[31]
005,rndgraph12-40_1-1-1,True,no,False,True,0.958,0.42,-0.538,3,3.0,{6},[13],{1},[11],{3},[3]
006,rndgraph12-40_1-1-1,True,no,False,True,1.371,0.69,-0.681,3,3.0,{5},[5],{31},[31],{2},[2]
007,rndgraph12-40_1-1-1,True,no,False,True,1.156,0.34,-0.8159999999999998,5,5.0,{16},[16],{2},[2],{39},[39]
008,rndgraph12-40_1-1-1,True,no,False,False,1.289,2.29,1.0010000000000001,4,4.0,{35},[35],{11},[11],{34},[34]
009,rndgraph12-40_1-1-1,True,no,False,True,0.894,0.56,-0.33399999999999996,3,3.0,{3},[38],{1},[18],{11},[30]
010,rndgraph12-40_1-1-1,True,no,False,False,1.4,19.19,17.790000000000003,4,4.0,{14},[14],{11},[11],{36},[36]
011,rndgraph12-40_1-1-1,True,no,False,True,0.719,0.7,-0.019000000000000017,3,3.0,{30},[30],{19},[19],{39},[39]
012,rndgraph12-40_1-1-1,True,no,False,True,1.292,0.58,-0.7120000000000001,4,4.0,{38},[38],{36},[36],{16},[16]
013,rndgraph12-40_1-1-1,True,no,False,True,3.457,2.73,-0.7269999999999999,3,3.0,{15},[11],{31},[28],{11},[36]
014,rndgraph12-40_1-1-1,True,no,False,True,1.364,0.48,-0.8840000000000001,5,5.0,{14},[5],{27},[2],{2},[27]
015,rndgraph12-40_1-1-1,True,no,False,True,1.421,0.71,-0.7110000000000001,3,3.0,{30},[19],{37},[5],{5},[37]
016,rndgraph12-40_1-1-1,True,no,False,True,1.003,0.77,-0.23299999999999987,4,4.0,{2},[32],{1},[7],{32},[4]
017,rndgraph12-40_1-1-1,True,no,False,True,0.45,0.37,-0.08000000000000002,3,3.0,{22},[24],{1},[8],{24},[15]
018,rndgraph12-40_1-1-1,True,no,False,False,0.432,0.46,0.028000000000000025,3,3.0,{6},[20],{1},[6],{29},[25]
019,rndgraph12-40_1-1-1,True,no,False,True,0.755,0.38,-0.375,5,5.0,{20},[1],{1},[26],{30},[30]
020,rndgraph12-40_1-1-1,True,no,False,True,11.216,5.99,-5.225999999999999,2,2.0,{18},[7],{22},[28],{14},[13]
