,graph name,og fail,v2 fail,sols match,v2 faster,og time,v2 time,time diff,og obj,v2 obj,og X,v2 X,og Y,v2 Y,og Z,v2 Z
001,rndgraph07-40_2-2-2,False,False,True,True,8.988,3.17,-5.818,15,15.0,"[26, 32]","{26, 22}","[18, 31]","{8, 12}","[12, 16]","{16, 31}"
002,rndgraph07-40_2-2-2,False,False,True,False,76.862,243.86,166.99800000000002,13,13.0,"[14, 39]","{24, 17}","[20, 21]","{8, 33}","[25, 33]","{25, 19}"
003,rndgraph07-40_2-2-2,False,False,True,True,25.024,9.07,-15.954,14,14.0,"[5, 37]","{37, 5}","[18, 20]","{18, 20}","[26, 36]","{26, 36}"
004,rndgraph07-40_2-2-2,False,False,True,True,27.914,6.21,-21.704,16,16.0,"[7, 10]","{34, 37}","[12, 23]","{28, 6}","[1, 18]","{1, 18}"
005,rndgraph07-40_2-2-2,False,False,True,True,18.468,11.64,-6.827999999999999,14,14.0,"[11, 22]","{11, 22}","[2, 4]","{2, 21}","[1, 19]","{1, 19}"
006,rndgraph07-40_2-2-2,False,False,True,True,11.894,11.19,-0.7040000000000006,18,18.0,"[26, 35]","{24, 35}","[10, 24]","{32, 14}","[25, 30]","{25, 30}"
007,rndgraph07-40_2-2-2,False,False,False,False,16.373,48.24,31.867,12,12.000000000000007,"[11, 35]","{1, 10}","[1, 6]","{17, 39}","[3, 23]","{3, 23}"
008,rndgraph07-40_2-2-2,False,False,True,False,6.139,7.82,1.681,15,15.0,"[7, 13]","{13, 7}","[29, 35]","{35, 15}","[5, 23]","{5, 23}"
009,rndgraph07-40_2-2-2,False,False,True,True,86.963,17.53,-69.43299999999999,13,13.0,"[19, 22]","{10, 26}","[10, 39]","{8, 24}","[6, 12]","{12, 6}"
010,rndgraph07-40_2-2-2,False,False,True,True,6.685,4.24,-2.4449999999999994,17,17.0,"[1, 21]","{24, 21}","[15, 27]","{25, 27}","[2, 9]","{9, 2}"
011,rndgraph07-40_2-2-2,False,False,True,False,2.348,5.26,2.912,16,16.0,"[10, 26]","{28, 21}","[12, 28]","{33, 35}","[9, 37]","{9, 37}"
012,rndgraph07-40_2-2-2,False,False,True,False,99.852,179.74,79.888,13,13.0,"[10, 23]","{35, 14}","[26, 36]","{1, 20}","[1, 14]","{2, 36}"
013,rndgraph07-40_2-2-2,False,False,True,False,5.16,6.22,1.0599999999999996,17,17.0,"[1, 20]","{1, 20}","[16, 33]","{16, 33}","[36, 40]","{40, 36}"
014,rndgraph07-40_2-2-2,False,False,True,False,61.353,160.81,99.457,13,13.0,"[34, 40]","{20, 14}","[15, 20]","{5, 6}","[9, 14]","{9, 15}"
015,rndgraph07-40_2-2-2,False,False,True,True,19.802,8.44,-11.362,13,13.0,"[2, 6]","{26, 6}","[5, 32]","{19, 11}","[11, 38]","{28, 38}"
016,rndgraph07-40_2-2-2,False,False,True,False,6.159,11.18,5.021,14,14.0,"[5, 8]","{8, 11}","[10, 16]","{16, 6}","[2, 25]","{25, 2}"
017,rndgraph07-40_2-2-2,False,False,True,False,4.443,8.1,3.657,16,16.0,"[5, 11]","{40, 14}","[13, 28]","{1, 2}","[12, 32]","{35, 12}"
018,rndgraph07-40_2-2-2,False,False,True,True,6.347,2.47,-3.8770000000000002,15,15.0,"[14, 38]","{38, 14}","[30, 37]","{6, 30}","[2, 8]","{8, 2}"
019,rndgraph07-40_2-2-2,False,False,True,True,7.24,3.3,-3.9400000000000004,17,17.0,"[20, 32]","{32, 20}","[2, 39]","{2, 15}","[17, 29]","{17, 29}"
020,rndgraph07-40_2-2-2,False,False,True,True,58.21,3.95,-54.26,13,13.0,"[26, 32]","{32, 26}","[3, 9]","{1, 11}","[12, 38]","{12, 38}"
