,graph name,sols match,og fail,v2 fail,v2 faster,og time,v2 time,time diff,og obj,v2 obj,og X,v2 X,og Y,v2 Y,og Z,v2 Z
001,rndgraph05-60_3-1-3,True,no,False,False,8.787,9.44,0.6529999999999987,36,36.0,"{57, 34, 21}","[21, 34, 57]",{28},[28],"{17, 11, 36}","[11, 17, 36]"
002,rndgraph05-60_3-1-3,True,no,False,True,106.004,63.71,-42.294000000000004,26,26.0,"{1, 18, 41}","[28, 30, 50]",{46},[49],"{42, 50, 30}","[29, 41, 42]"
003,rndgraph05-60_3-1-3,True,no,False,False,2.848,44.27,41.422000000000004,28,28.0,"{33, 59, 15}","[15, 33, 59]",{13},[13],"{32, 28, 21}","[21, 28, 32]"
004,rndgraph05-60_3-1-3,True,no,False,False,25.392,26.74,1.347999999999999,24,24.0,"{49, 51, 53}","[28, 54, 57]",{60},[17],"{28, 21, 7}","[7, 21, 51]"
005,rndgraph05-60_3-1-3,True,no,False,False,11.168,21.78,10.612000000000002,31,31.0,"{19, 4, 28}","[4, 19, 28]",{36},[36],"{17, 29, 31}","[17, 29, 31]"
006,rndgraph05-60_3-1-3,True,no,False,True,6.148,5.88,-0.2679999999999998,30,30.0,"{56, 57, 29}","[9, 18, 57]",{9},[52],"{16, 24, 6}","[6, 16, 24]"
007,rndgraph05-60_3-1-3,True,no,False,False,93.613,115.75,22.137,28,28.0,"{56, 12, 37}","[12, 37, 56]",{3},[7],"{18, 2, 10}","[2, 10, 18]"
008,rndgraph05-60_3-1-3,True,no,False,False,10.425,61.8,51.375,25,25.0,"{34, 20, 47}","[1, 20, 51]",{27},[27],"{32, 21, 38}","[21, 32, 38]"
009,rndgraph05-60_3-1-3,True,no,False,True,11.589,7.28,-4.309,28,28.0,"{59, 11, 21}","[11, 21, 59]",{1},[2],"{8, 27, 5}","[5, 8, 27]"
010,rndgraph05-60_3-1-3,True,no,False,False,23.292,41401.22,41377.928,24,24.0,"{32, 40, 36}","[29, 36, 41]",{1},[44],"{17, 29, 41}","[17, 32, 40]"
011,rndgraph05-60_3-1-3,True,no,False,True,39.752,32.25,-7.5020000000000024,30,30.0,"{9, 43, 55}","[9, 43, 55]",{8},[8],"{26, 47, 31}","[26, 31, 47]"
012,rndgraph05-60_3-1-3,False,no,False,True,47.436,22.19,-25.246,25,24.999999999999996,"{54, 51, 46}","[6, 27, 43]",{40},[25],"{44, 30, 15}","[40, 51, 54]"
013,rndgraph05-60_3-1-3,True,no,False,False,17.364,93.2,75.836,37,37.0,"{1, 36, 25}","[11, 17, 53]",{53},[25],"{48, 3, 39}","[3, 39, 48]"
014,rndgraph05-60_3-1-3,True,no,False,False,51.281,127.9,76.619,22,22.0,"{29, 13, 30}","[13, 38, 60]",{60},[43],"{1, 18, 38}","[1, 18, 30]"
015,rndgraph05-60_3-1-3,True,no,False,False,207.599,2838.45,2630.8509999999997,21,21.0,"{38, 29, 22}","[29, 38, 39]",{59},[9],"{45, 4, 12}","[12, 41, 45]"
016,rndgraph05-60_3-1-3,True,no,False,False,3.464,4.04,0.5760000000000001,41,41.0,"{27, 3, 15}","[3, 15, 27]",{14},[14],"{16, 11, 5}","[5, 11, 16]"
017,rndgraph05-60_3-1-3,True,no,False,False,32.772,62.87,30.098,27,27.0,"{17, 58, 47}","[17, 47, 58]",{3},[3],"{24, 5, 7}","[5, 7, 24]"
018,rndgraph05-60_3-1-3,True,no,False,False,9.02,19.37,10.350000000000001,31,31.0,"{16, 24, 18}","[16, 18, 24]",{3},[33],"{41, 51, 21}","[21, 41, 51]"
019,rndgraph05-60_3-1-3,True,no,False,False,2.698,20.0,17.302,27,27.0,"{26, 36, 53}","[26, 36, 53]",{3},[23],"{58, 4, 39}","[4, 39, 58]"
020,rndgraph05-60_3-1-3,True,no,False,False,5.652,64.38,58.727999999999994,30,30.0,"{57, 13, 54}","[25, 37, 54]",{37},[57],"{50, 51, 36}","[36, 50, 51]"
