,graph_name,imp_failed,paper_fail,answers_match,Z_sols_match,improved_time,imp_time,paper_time,time_difference,imp_obj,paper_obj,imp_X_sol,paper_X_sol,imp_Y_sol,paper_Y_sol,imp_Z_sol,paper_Z_sol
001,rndgraph07-40_1-1-1_001,False,no,yes,True,True,0.713,1.27,-0.557,11,11,{40},[40],{13},[13],[15],[15]
002,rndgraph07-40_1-1-1_002,False,no,yes,True,True,0.518,0.528,-0.01,7,7,{22},[22],{1},[14],[38],[38]
003,rndgraph07-40_1-1-1_003,False,no,yes,False,True,0.214,0.634,-0.42,9,9,{3},[3],{2},[1],[1],[2]
004,rndgraph07-40_1-1-1_004,False,no,yes,True,True,0.429,0.534,-0.105,10,10,{34},[1],{1},[15],[32],[32]
005,rndgraph07-40_1-1-1_005,False,no,NO,True,True,0.567,0.78,-0.213,8,7,{15},[15],{1},[29],[7],[7]
006,rndgraph07-40_1-1-1_006,False,no,yes,True,True,0.327,0.78,-0.453,9,9,{28},[21],{38},[38],[37],[37]
007,rndgraph07-40_1-1-1_007,False,no,yes,True,True,0.615,1.09,-0.475,11,11,{8},[8],{28},[28],[24],[24]
008,rndgraph07-40_1-1-1_008,False,no,yes,True,True,0.582,0.971,-0.389,10,10,{40},[40],{7},[7],[3],[3]
009,rndgraph07-40_1-1-1_009,False,no,yes,False,True,0.637,1.179,-0.542,10,10,{34},[39],{29},[11],[11],[29]
010,rndgraph07-40_1-1-1_010,False,no,yes,False,True,1.068,1.941,-0.873,8,8,{26},[23],{12},[4],[28],[40]
011,rndgraph07-40_1-1-1_011,False,no,NO,False,True,0.382,1.008,-0.626,8,7,{39},[7],{2},[35],[35],[2]
012,rndgraph07-40_1-1-1_012,False,no,yes,True,True,0.227,0.584,-0.357,10,10,{37},[29],{10},[10],[33],[33]
013,rndgraph07-40_1-1-1_013,False,no,yes,False,True,0.835,1.115,-0.28,8,8,{33},[2],{34},[24],[24],[34]
014,rndgraph07-40_1-1-1_014,False,no,yes,False,True,0.461,0.754,-0.293,8,8,{12},[38],{10},[1],[1],[10]
015,rndgraph07-40_1-1-1_015,False,no,NO,True,True,0.353,0.436,-0.083,13,11,{19},[19],{14},[14],[9],[9]
016,rndgraph07-40_1-1-1_016,False,no,yes,False,True,0.454,0.769,-0.315,10,10,{20},[39],{30},[29],[29],[30]
017,rndgraph07-40_1-1-1_017,False,no,NO,True,True,0.497,1.063,-0.566,9,8,{2},[2],{3},[3],[37],[37]
018,rndgraph07-40_1-1-1_018,False,no,yes,False,True,0.675,1.123,-0.448,7,7,{35},[25],{33},[13],[26],[21]
019,rndgraph07-40_1-1-1_019,False,no,yes,True,True,0.383,0.493,-0.11,10,10,{17},[17],{1},[21],[28],[28]
020,rndgraph07-40_1-1-1_020,False,no,yes,False,True,1.076,2.598,-1.522,8,8,{13},[24],{35},[1],[30],[5]
