,graph_name,imp_failed,paper_fail,answers_match,Z_sols_match,improved_time,imp_time,paper_time,time_difference,imp_obj,paper_obj,imp_X_sol,paper_X_sol,imp_Y_sol,paper_Y_sol,imp_Z_sol,paper_Z_sol
001,rndgraph06-40_2-2-2_001,False,no,NO,False,True,5.292,9.635,-4.343,20,16,"{23, 7}","[15, 31]","{35, 12}","[27, 40]","[17, 40]","[7, 17]"
002,rndgraph06-40_2-2-2_002,False,no,NO,True,False,9.128,4.652,4.476,18,16,"{34, 31}","[31, 34]","{8, 1}","[1, 36]","[14, 19]","[14, 19]"
003,rndgraph06-40_2-2-2_003,False,no,NO,True,True,4.258,8.212,-3.954,21,19,"{12, 23}","[2, 12]","{40, 15}","[15, 40]","[4, 11]","[4, 11]"
004,rndgraph06-40_2-2-2_004,False,no,NO,True,True,3.643,8.95,-5.307,19,15,"{5, 31}","[5, 31]","{1, 2}","[2, 12]","[23, 37]","[23, 37]"
005,rndgraph06-40_2-2-2_005,False,no,NO,True,True,2.585,4.113,-1.528,21,17,"{21, 14}","[14, 21]","{24, 26}","[3, 24]","[27, 29]","[27, 29]"
006,rndgraph06-40_2-2-2_006,False,no,NO,True,False,16.517,4.746,11.771,19,17,"{8, 20}","[20, 33]","{33, 5}","[11, 17]","[25, 37]","[25, 37]"
007,rndgraph06-40_2-2-2_007,False,no,yes,False,False,14.381,13.86,0.521,18,18,"{34, 28}","[10, 35]","{17, 35}","[5, 28]","[10, 26]","[26, 34]"
008,rndgraph06-40_2-2-2_008,False,no,NO,False,True,12.2,16.209,-4.009,21,20,"{35, 14}","[1, 16]","{16, 39}","[8, 29]","[1, 13]","[11, 13]"
009,rndgraph06-40_2-2-2_009,False,no,NO,True,True,3.903,5.362,-1.459,22,18,"{34, 39}","[4, 34]","{25, 38}","[17, 39]","[15, 19]","[15, 19]"
010,rndgraph06-40_2-2-2_010,False,no,NO,False,True,8.279,12.869,-4.59,19,14,"{8, 32}","[12, 23]","{12, 31}","[26, 37]","[26, 30]","[30, 32]"
011,rndgraph06-40_2-2-2_011,False,no,yes,False,True,4.402,11.102,-6.7,21,21,"{29, 23}","[27, 31]","{27, 4}","[9, 13]","[1, 9]","[1, 4]"
012,rndgraph06-40_2-2-2_012,False,no,yes,False,True,9.58,11.327,-1.747,17,17,"{1, 31}","[6, 31]","{2, 3}","[15, 16]","[6, 12]","[1, 12]"
013,rndgraph06-40_2-2-2_013,False,no,NO,True,True,2.722,8.886,-6.164,23,22,"{32, 21}","[21, 32]","{11, 4}","[11, 35]","[20, 24]","[20, 24]"
014,rndgraph06-40_2-2-2_014,False,no,NO,False,True,6.125,10.8,-4.675,18,13,"{8, 29}","[4, 33]","{13, 39}","[13, 23]","[31, 38]","[38, 39]"
015,rndgraph06-40_2-2-2_015,False,no,NO,True,True,3.309,5.154,-1.845,21,17,"{30, 31}","[30, 31]","{19, 14}","[14, 19]","[21, 26]","[21, 26]"
016,rndgraph06-40_2-2-2_016,False,no,NO,True,True,17.16,19.582,-2.422,17,15,"{9, 14}","[9, 14]","{19, 23}","[19, 23]","[25, 26]","[25, 26]"
017,rndgraph06-40_2-2-2_017,False,no,yes,True,True,4.558,14.367,-9.809,26,26,"{3, 5}","[8, 9]","{9, 28}","[11, 30]","[12, 34]","[12, 34]"
018,rndgraph06-40_2-2-2_018,False,no,NO,True,True,3.659,12.735,-9.076,24,18,"{18, 7}","[7, 18]","{35, 38}","[35, 38]","[24, 30]","[24, 30]"
019,rndgraph06-40_2-2-2_019,False,no,NO,True,True,8.859,17.887,-9.028,20,16,"{27, 5}","[27, 35]","{17, 35}","[5, 11]","[36, 40]","[36, 40]"
020,rndgraph06-40_2-2-2_020,False,no,NO,False,True,9.17,12.191,-3.021,19,18,"{24, 28}","[4, 24]","{20, 37}","[35, 37]","[4, 33]","[28, 33]"
