,graph name,og fail,v2 time,v2 obj,v2 X,v2 Y,sols match,v2 faster,og time,time diff,og obj,og X,og Y,og Z,v2 Z
001,rndgraph09-40_1-1-1,False,0.89,5.0,{1},{8},True,True,2.013,-1.1229999999999998,5,[21],[19],[1],{21}
002,rndgraph09-40_1-1-1,False,0.68,6.0,{39},{20},True,True,0.762,-0.08199999999999996,6,[39],[20],[29],{29}
003,rndgraph09-40_1-1-1,False,0.79,5.0,{30},{39},True,True,1.144,-0.35399999999999987,5,[22],[8],[40],{40}
004,rndgraph09-40_1-1-1,False,0.28,6.0,{31},{1},True,True,0.455,-0.175,6,[16],[23],[25],{25}
005,rndgraph09-40_1-1-1,False,0.31,4.0,{6},{1},True,True,0.354,-0.043999999999999984,4,[6],[5],[21],{21}
006,rndgraph09-40_1-1-1,False,0.19,5.0,{39},{1},True,True,0.401,-0.21100000000000002,5,[39],[7],[6],{31}
007,rndgraph09-40_1-1-1,False,0.45,5.0,{3},{40},True,False,0.416,0.03400000000000003,5,[3],[33],[16],{16}
008,rndgraph09-40_1-1-1,False,0.27,6.0,{37},{1},True,True,0.803,-0.533,6,[27],[33],[3],{3}
009,rndgraph09-40_1-1-1,False,0.38,7.0,{3},{40},True,True,0.432,-0.05199999999999999,7,[3],[21],[13],{13}
010,rndgraph09-40_1-1-1,False,0.23,5.0,{25},{1},True,True,0.429,-0.19899999999999998,5,[25],[20],[3],{3}
011,rndgraph09-40_1-1-1,False,0.15,5.0,{4},{1},True,True,0.883,-0.733,5,[39],[1],[36],{30}
012,rndgraph09-40_1-1-1,False,0.29,6.0,{34},{2},True,True,0.433,-0.14300000000000002,6,[7],[2],[17],{17}
013,rndgraph09-40_1-1-1,False,0.35,7.0,{16},{1},True,True,0.357,-0.007000000000000006,7,[16],[34],[25],{25}
014,rndgraph09-40_1-1-1,False,0.24,6.0,{31},{1},True,True,0.779,-0.539,6,[40],[23],[6],{33}
015,rndgraph09-40_1-1-1,False,0.24,4.0,{38},{1},True,True,0.552,-0.31200000000000006,4,[29],[9],[3],{29}
016,rndgraph09-40_1-1-1,False,0.18,6.0,{39},{1},True,True,0.386,-0.20600000000000002,6,[14],[33],[39],{14}
017,rndgraph09-40_1-1-1,False,0.72,5.0,{26},{18},True,True,1.435,-0.7150000000000001,5,[26],[18],[15],{15}
018,rndgraph09-40_1-1-1,False,0.65,5.0,{19},{5},True,True,1.304,-0.654,5,[19],[5],[35],{35}
019,rndgraph09-40_1-1-1,False,0.41,5.0,{15},{10},True,True,1.193,-0.7830000000000001,5,[15],[10],[40],{40}
020,rndgraph09-40_1-1-1,False,0.27,4.0,{27},{2},True,True,0.443,-0.173,4,[22],[33],[14],{1}
