,graph name,og fail,v2 time,v2 obj,v2 X,v2 Y,sols match,v2 faster,og time,time diff,og obj,og X,og Y,og Z,v2 Z
001,rndgraph05-60_1-1-1,False,1.71,9.0,{2},{3},True,False,1.533,0.17700000000000005,9,[4],[13],[16],{19}
002,rndgraph05-60_1-1-1,False,0.46,11.0,{51},{1},True,True,0.772,-0.312,11,[30],[46],[36],{30}
003,rndgraph05-60_1-1-1,False,0.93,9.0,{43},{41},True,True,1.118,-0.18800000000000006,9,[43],[41],[25],{25}
004,rndgraph05-60_1-1-1,False,0.34,10.0,{33},{1},True,True,1.743,-1.403,10,[24],[1],[33],{57}
005,rndgraph05-60_1-1-1,False,3.38,10.0,{15},{57},True,True,4.322,-0.9420000000000002,10,[15],[57],[11],{11}
006,rndgraph05-60_1-1-1,False,0.46,8.0,{4},{1},True,True,0.793,-0.333,8,[34],[4],[50],{34}
007,rndgraph05-60_1-1-1,False,0.94,16.0,{23},{6},True,True,1.73,-0.79,16,[23],[6],[21],{21}
008,rndgraph05-60_1-1-1,False,0.83,10.0,{41},{30},True,True,1.922,-1.092,10,[41],[37],[30],{37}
009,rndgraph05-60_1-1-1,False,1.12,8.0,{41},{54},True,True,2.334,-1.214,8,[41],[54],[60],{60}
010,rndgraph05-60_1-1-1,False,2.89,8.0,{12},{1},True,False,0.745,2.145,8,[29],[37],[55],{15}
011,rndgraph05-60_1-1-1,False,1.36,9.0,{43},{60},True,True,1.937,-0.577,9,[23],[44],[43],{23}
012,rndgraph05-60_1-1-1,False,1.46,9.0,{1},{38},True,True,2.308,-0.8479999999999999,9,[50],[11],[38],{11}
013,rndgraph05-60_1-1-1,False,0.27,10.0,{50},{1},True,True,0.666,-0.396,10,[28],[19],[50],{28}
014,rndgraph05-60_1-1-1,False,0.44,7.000000000000003,{51},{1},False,True,1.297,-0.857,7,[51],[22],[34],{34}
015,rndgraph05-60_1-1-1,False,1.15,8.0,{30},{8},True,True,2.292,-1.142,8,[30],[8],[43],{43}
016,rndgraph05-60_1-1-1,False,1.34,7.0,{54},{1},True,True,2.528,-1.188,7,[48],[18],[35],{35}
017,rndgraph05-60_1-1-1,False,1.09,8.0,{9},{1},True,False,1.086,0.0040000000000000036,8,[33],[13],[56],{48}
018,rndgraph05-60_1-1-1,False,0.81,11.0,{12},{1},True,False,0.785,0.025000000000000022,11,[12],[54],[44],{44}
019,rndgraph05-60_1-1-1,False,0.89,12.0,{47},{43},True,True,1.724,-0.834,12,[59],[43],[56],{56}
020,rndgraph05-60_1-1-1,False,0.52,9.0,{20},{39},True,True,1.987,-1.467,9,[20],[39],[1],{1}
