,graph name,og fail
001,rndgraph05-20_1-1-1,False
002,rndgraph05-20_1-1-1,False
003,rndgraph05-20_1-1-1,False
004,rndgraph05-20_1-1-1,False
005,rndgraph05-20_1-1-1,False
006,rndgraph05-20_1-1-1,False
007,rndgraph05-20_1-1-1,False
008,rndgraph05-20_1-1-1,False
009,rndgraph05-20_1-1-1,False
010,rndgraph05-20_1-1-1,False
011,rndgraph05-20_1-1-1,False
012,rndgraph05-20_1-1-1,False
013,rndgraph05-20_1-1-1,False
014,rndgraph05-20_1-1-1,False
015,rndgraph05-20_1-1-1,False
016,rndgraph05-20_1-1-1,False
017,rndgraph05-20_1-1-1,False
018,rndgraph05-20_1-1-1,False
019,rndgraph05-20_1-1-1,False
020,rndgraph05-20_1-1-1,False
