,graph_name,imp_failed,paper_fail,answers_match,Z_sols_match,improved_time,imp_time,paper_time,time_difference,imp_obj,paper_obj,imp_X_sol,paper_X_sol,imp_Y_sol,paper_Y_sol,imp_Z_sol,paper_Z_sol
001,rndgraph05-80_1-1-1_001,False,no,yes,True,True,1.838,5.976,-4.138,6,6,{48},[48],{16},[16],[21],[21]
002,rndgraph05-80_1-1-1_002,False,no,yes,True,True,1.329,5.227,-3.898,8,8,{9},[9],{1},[78],[58],[58]
003,rndgraph05-80_1-1-1_003,False,no,yes,False,True,5.625,17.93,-12.305,6,6,{68},[18],{39},[32],[11],[31]
004,rndgraph05-80_1-1-1_004,False,no,yes,False,True,3.452,14.6,-11.148,6,6,{12},[10],{42},[29],[29],[42]
005,rndgraph05-80_1-1-1_005,False,no,yes,False,True,0.763,2.361,-1.598,7,7,{56},[57],{1},[43],[57],[56]
006,rndgraph05-80_1-1-1_006,False,no,yes,True,True,1.607,5.461,-3.854,5,5,{36},[36],{68},[68],[19],[19]
007,rndgraph05-80_1-1-1_007,False,no,yes,False,True,0.702,2.145,-1.443,8,8,{56},[64],{2},[5],[1],[33]
008,rndgraph05-80_1-1-1_008,False,no,yes,True,True,1.289,2.118,-0.829,6,6,{24},[24],{80},[20],[41],[41]
009,rndgraph05-80_1-1-1_009,False,no,yes,False,True,4.109,12.761,-8.652,6,6,{20},[20],{40},[79],[79],[40]
010,rndgraph05-80_1-1-1_010,False,no,yes,True,True,1.954,6.292,-4.338,8,8,{11},[11],{42},[42],[54],[54]
011,rndgraph05-80_1-1-1_011,False,no,yes,False,True,0.613,2.373,-1.76,8,8,{48},[48],{2},[5],[54],[36]
012,rndgraph05-80_1-1-1_012,False,no,yes,False,True,0.66,3.493,-2.833,8,8,{21},[3],{1},[17],[5],[21]
013,rndgraph05-80_1-1-1_013,False,no,yes,True,True,1.665,7.881,-6.216,7,7,{37},[37],{32},[32],[53],[53]
014,rndgraph05-80_1-1-1_014,False,no,yes,False,True,1.957,3.073,-1.116,5,5,{17},[16],{1},[69],[53],[7]
015,rndgraph05-80_1-1-1_015,False,no,yes,True,True,0.535,8.797,-8.262,7,7,{48},[48],{1},[9],[3],[3]
016,rndgraph05-80_1-1-1_016,False,no,yes,False,True,1.93,3.1,-1.17,6,6,{20},[51],{41},[33],[33],[41]
017,rndgraph05-80_1-1-1_017,False,no,yes,True,True,2.15,8.411,-6.261,4,4,{24},[24],{73},[73],[12],[12]
018,rndgraph05-80_1-1-1_018,False,no,yes,True,True,1.048,4.798,-3.75,4,4,{38},[38],{14},[14],[2],[2]
019,rndgraph05-80_1-1-1_019,False,no,yes,True,True,2.112,6.11,-3.998,6,6,{65},[65],{1},[3],[11],[11]
020,rndgraph05-80_1-1-1_020,False,no,yes,True,True,0.663,4.506,-3.843,7,7,{60},[60],{1},[22],[24],[24]
