,graph name,sols match,og fail,v2 fail,v2 faster,og time,v2 time,time diff,og obj,v2 obj,og X,v2 X,og Y,v2 Y,og Z,v2 Z
001,rndgraph13-40_1-1-1,True,no,False,True,0.862,0.31,-0.552,3,3.0,{7},[3],{1},[40],{28},[28]
002,rndgraph13-40_1-1-1,True,no,False,True,1.716,1.03,-0.6859999999999999,3,3.0,{8},[8],{23},[23],{27},[27]
003,rndgraph13-40_1-1-1,True,no,False,True,0.874,0.51,-0.364,3,3.0,{11},[2],{40},[14],{25},[25]
004,rndgraph13-40_1-1-1,True,no,False,False,2.33,3.55,1.2199999999999998,3,3.0,{9},[19],{26},[9],{19},[25]
005,rndgraph13-40_1-1-1,True,no,False,True,0.879,0.41,-0.46900000000000003,5,5.0,{40},[39],{1},[14],{2},[25]
006,rndgraph13-40_1-1-1,True,no,False,True,0.569,0.48,-0.08899999999999997,4,4.0,{11},[15],{1},[17],{15},[35]
007,rndgraph13-40_1-1-1,True,no,False,True,1.763,0.53,-1.2329999999999999,3,3.0,{7},[7],{14},[14],{12},[12]
008,rndgraph13-40_1-1-1,True,no,False,False,7.188,13.51,6.322,2,2.0,{19},[5],{7},[36],{17},[28]
009,rndgraph13-40_1-1-1,True,no,False,False,1.327,1.41,0.08299999999999996,4,4.0,{26},[26],{11},[11],{18},[18]
010,rndgraph13-40_1-1-1,True,no,False,True,0.417,0.32,-0.09699999999999998,3,3.0,{6},[40],{1},[17],{40},[24]
011,rndgraph13-40_1-1-1,True,no,False,False,0.386,0.47,0.08399999999999996,3,3.0,{2},[1],{1},[25],{11},[11]
012,rndgraph13-40_1-1-1,True,no,False,True,3.36,2.43,-0.9299999999999997,4,4.0,{6},[11],{9},[25],{25},[9]
013,rndgraph13-40_1-1-1,True,no,False,True,4.975,4.76,-0.21499999999999986,3,3.0,{11},[2],{37},[7],{5},[31]
014,rndgraph13-40_1-1-1,True,no,False,True,0.952,0.54,-0.4119999999999999,4,4.0,{3},[9],{1},[4],{30},[30]
015,rndgraph13-40_1-1-1,True,no,False,True,1.545,0.81,-0.7349999999999999,3,3.0,{11},[7],{21},[27],{27},[21]
016,rndgraph13-40_1-1-1,False,no,False,True,1.971,0.28,-1.691,2,2.999999999999999,{8},[8],{22},[22],{39},[39]
017,rndgraph13-40_1-1-1,True,no,False,True,0.49,0.24,-0.25,4,4.0,{12},[23],{1},[4],{7},[7]
018,rndgraph13-40_1-1-1,True,no,False,True,0.866,0.51,-0.356,3,3.0,{11},[4],{1},[24],{25},[25]
019,rndgraph13-40_1-1-1,True,no,False,True,1.051,0.46,-0.591,3,3.0,{5},[7],{1},[33],{24},[24]
020,rndgraph13-40_1-1-1,True,no,False,True,8.102,5.36,-2.742,2,2.0,{16},[2],{3},[13],{6},[40]
