,graph_name,imp_failed,paper_fail,answers_match,Z_sols_match,improved_time,imp_time,paper_time,time_difference,imp_obj,paper_obj,imp_X_sol,paper_X_sol,imp_Y_sol,paper_Y_sol,imp_Z_sol,paper_Z_sol
001,rndgraph05-40_1-1-1_001,False,no,NO,True,False,0.448,0.424,0.024,17,16,{38},[24],{3},[18],[26],[26]
002,rndgraph05-40_1-1-1_002,False,no,yes,True,True,0.321,0.374,-0.053,18,18,{23},[5],{4},[13],[2],[2]
003,rndgraph05-40_1-1-1_003,False,no,NO,False,False,0.735,0.585,0.15,23,21,{40},[30],{9},[38],[38],[9]
004,rndgraph05-40_1-1-1_004,False,no,NO,False,False,0.75,0.349,0.401,23,19,{29},[4],{12},[21],[21],[12]
005,rndgraph05-40_1-1-1_005,False,no,yes,True,True,0.265,0.494,-0.229,16,16,{36},[36],{40},[19],[24],[24]
006,rndgraph05-40_1-1-1_006,False,no,NO,True,False,0.479,0.4,0.079,19,17,{5},[5],{34},[34],[36],[36]
007,rndgraph05-40_1-1-1_007,False,no,NO,True,True,0.307,0.818,-0.511,21,20,{15},[15],{1},[34],[10],[10]
008,rndgraph05-40_1-1-1_008,False,no,yes,True,True,0.437,0.478,-0.041,30,30,{23},[23],{24},[24],[32],[32]
009,rndgraph05-40_1-1-1_009,False,no,NO,True,False,0.843,0.438,0.405,22,16,{19},[19],{23},[23],[8],[8]
010,rndgraph05-40_1-1-1_010,False,no,NO,True,False,0.751,0.447,0.304,24,20,{22},[22],{34},[34],[17],[17]
011,rndgraph05-40_1-1-1_011,False,no,yes,True,True,0.597,0.672,-0.075,27,27,{23},[23],{17},[17],[9],[9]
012,rndgraph05-40_1-1-1_012,False,no,yes,True,True,0.319,0.622,-0.303,22,22,{3},[3],{2},[2],[38],[38]
013,rndgraph05-40_1-1-1_013,False,no,yes,True,False,0.723,0.488,0.235,29,29,{4},[26],{27},[27],[2],[2]
014,rndgraph05-40_1-1-1_014,False,no,yes,True,False,0.972,0.833,0.139,16,16,{36},[36],{21},[21],[29],[29]
015,rndgraph05-40_1-1-1_015,False,no,yes,True,True,0.508,0.752,-0.244,20,20,{23},[23],{4},[4],[33],[33]
016,rndgraph05-40_1-1-1_016,False,no,NO,False,True,0.376,0.475,-0.099,23,24,{4},[40],{27},[2],[34],[4]
017,rndgraph05-40_1-1-1_017,False,no,NO,True,False,0.855,0.386,0.469,24,21,{26},[26],{35},[35],[7],[7]
018,rndgraph05-40_1-1-1_018,False,no,yes,True,True,0.332,0.557,-0.225,26,26,{29},[29],{5},[5],[1],[1]
019,rndgraph05-40_1-1-1_019,False,no,NO,True,True,0.357,0.476,-0.119,21,18,{27},[27],{10},[10],[5],[5]
020,rndgraph05-40_1-1-1_020,False,no,yes,False,False,0.796,0.693,0.103,23,23,{27},[26],{30},[9],[26],[27]
