,graph name,og fail,v2 time,v2 obj,v2 X,v2 Y,sols match,v2 faster,og time,time diff,og obj,og X,og Y,og Z,v2 Z
001,rndgraph08-40_1-1-1,False,0.42,10.0,{19},{15},True,True,0.931,-0.5110000000000001,10,[19],[15],[17],{17}
002,rndgraph08-40_1-1-1,False,1.1,7.0,{7},{24},True,True,2.397,-1.2969999999999997,7,[7],[24],[37],{37}
003,rndgraph08-40_1-1-1,False,2.05,6.0,{39},{3},True,True,2.109,-0.05900000000000016,6,[39],[3],[32],{32}
004,rndgraph08-40_1-1-1,False,0.35,8.0,{11},{1},True,True,0.77,-0.42000000000000004,8,[40],[37],[15],{15}
005,rndgraph08-40_1-1-1,False,0.51,7.0,{17},{35},True,True,1.206,-0.696,7,[29],[13],[17],{29}
006,rndgraph08-40_1-1-1,False,0.28,7.0,{34},{1},True,True,0.419,-0.13899999999999996,7,[32],[19],[39],{39}
007,rndgraph08-40_1-1-1,False,0.4,7.0,{13},{40},True,True,0.68,-0.28,7,[13],[40],[38],{38}
008,rndgraph08-40_1-1-1,False,0.23,7.0,{8},{1},True,True,0.499,-0.269,7,[8],[36],[35],{35}
009,rndgraph08-40_1-1-1,False,0.65,5.0,{12},{15},True,True,1.278,-0.628,5,[11],[35],[15],{35}
010,rndgraph08-40_1-1-1,False,0.18,7.0,{19},{2},True,True,0.472,-0.292,7,[29],[3],[40],{1}
011,rndgraph08-40_1-1-1,False,0.6,9.0,{34},{18},True,True,0.821,-0.22099999999999997,9,[34],[18],[35],{35}
012,rndgraph08-40_1-1-1,False,0.28,6.0,{17},{1},True,True,2.558,-2.2779999999999996,6,[12],[17],[4],{4}
013,rndgraph08-40_1-1-1,False,0.99,5.0,{25},{38},True,False,0.947,0.04300000000000004,5,[25],[38],[23],{23}
014,rndgraph08-40_1-1-1,False,0.64,7.0,{3},{18},True,True,1.22,-0.58,7,[3],[18],[16],{16}
015,rndgraph08-40_1-1-1,False,0.62,6.0,{5},{21},True,True,1.085,-0.46499999999999997,6,[5],[21],[28],{28}
016,rndgraph08-40_1-1-1,False,0.21,7.0,{38},{1},True,True,0.637,-0.42700000000000005,7,[38],[12],[36],{36}
017,rndgraph08-40_1-1-1,False,0.82,8.0,{36},{39},True,True,1.186,-0.366,8,[36],[39],[9],{9}
018,rndgraph08-40_1-1-1,False,0.3,6.0,{14},{40},True,True,0.549,-0.24900000000000005,6,[8],[31],[34],{31}
019,rndgraph08-40_1-1-1,False,0.47,8.0,{21},{1},True,False,0.417,0.05299999999999999,8,[1],[35],[22],{22}
020,rndgraph08-40_1-1-1,False,0.4,7.0,{39},{34},True,True,0.687,-0.28700000000000003,7,[19],[23],[34],{23}
